occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Moloch horridus","Moloch horridus Gray, 1841","2466435","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Agamidae","Moloch","Moloch horridus","Moloch horridus","Gray, 1841","2466435",
,"Escherichia coli","Escherichia coli_E","11286021","EXACT","98","ACCEPTED","SPECIES","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia coli","E","11286021",
,"Ursus arctos","Ursus arctos Linnaeus, 1758","2433433","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos","Ursus arctos","Linnaeus, 1758","2433433",
,"Canis lupus","Canis lupus Linnaeus, 1758","5219173","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Canis lupus","Linnaeus, 1758","5219173",
,"Cladonia rangiferina","Cladonia rangiferina (L.) Weber","8597577","EXACT","97","ACCEPTED","SPECIES","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Cladonia rangiferina","Cladonia rangiferina","(L.) Weber","8597577",
,"Erinaceus europaeus","Erinaceus europaeus Linnaeus, 1758","5219616","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus","Erinaceus europaeus","Erinaceus europaeus","Linnaeus, 1758","5219616",
,"Loxodonta africana og Loxodonta cyclotis","Loxodonta africana (Blumenbach, 1797)","2435350","HIGHERRANK","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana","Loxodonta africana","(Blumenbach, 1797) ","2435350",
,"Erinaceus europaeus","Erinaceus europaeus Linnaeus, 1758","5219616","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus","Erinaceus europaeus","Erinaceus europaeus","Linnaeus, 1758","5219616",
,"Felis catus","Felis catus Linnaeus, 1758","2435035","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus","Felis catus","Linnaeus, 1758","2435035",
,"Hmm ved jeg ikke",,,"NONE","100",,,,,,,,,,,,,
,"Loxodonta africana","Loxodonta africana (Blumenbach, 1797)","2435350","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana","Loxodonta africana","(Blumenbach, 1797) ","2435350",
,"Equus ferus caballus","Equus ferus caballus Linnaeus, 1758","9117798","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Equus ferus caballus","Linnaeus, 1758","9117798","2440886"
,"Ved ik",,,"NONE","100",,,,,,,,,,,,,
,"coccinella septempunctata","Coccinella septempunctata Linnaeus, 1758","4990191","EXACT","98","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella septempunctata","Linnaeus, 1758","4990191",
,"Philodendron Erubescens",,,"NONE","100",,,,,,,,,,,,,
,"?",,,"NONE","100",,,,,,,,,,,,,
,"Chlamydomonas debaryana","Chlamydomonas debaryana Gorosch.","5271227","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas debaryana","Chlamydomonas debaryana","Gorosch.","5271227",
,"Chlamydomonas debaryana","Chlamydomonas debaryana Gorosch.","5271227","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas debaryana","Chlamydomonas debaryana","Gorosch.","5271227",
,"Spheniscidae","Spheniscidae","5284","EXACT","94","ACCEPTED","FAMILY","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae",,,"Spheniscidae",,"5284",
,"Orcinus orca","Orcinus orca (Linnaeus, 1758)","2440483","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","Orcinus orca","(Linnaeus, 1758) ","2440483",
,"Orcinus orca","Orcinus orca (Linnaeus, 1758)","2440483","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","Orcinus orca","(Linnaeus, 1758) ","2440483",
,"Coccinella septempunctata Linneaus","Coccinella septempunctata Linnaeus, 1758","4990191","EXACT","100","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella septempunctata","Linnaeus, 1758","4990191",
,"Hydra","Animalia","1","HIGHERRANK","92","ACCEPTED","KINGDOM","Animalia",,,,,,,"Animalia",,"1",
,"Glaucus Atlanticus (Blue dragon)",,,"NONE","100",,,,,,,,,,,,,
